,dt,id,jd,seg_pos,t,track_pos,x,y,z,seg.D_msd,seg.D_msd_intercept,seg.D_msd_r,seg.D_msd_std_err,seg.id,seg.lifetime,seg.loc_count,seg.mjd,seg.mjd_n,seg.mjd_std_err,seg.motion,seg.msd,seg.msd_n,seg.msd_std_err,seg.t_start,seg.track_pos,track.id,track.lifetime,track.loc_count,track.noise,track.seg_count,track.t_start
30,0,30,0,1,1,0,31465,12905,4200,0,0,0,0,45,1,2,0,1,0,diffusion,0,1,0,0,0,18,1,2,0,1,0
31,1,31,0,1,1,0,31610,12905,4500,0.0009141304348,0,0.9097176523,3.481810216e-007,44,4,5,36.25,4,36.25,immobile,5256.25,4,5256.25,0,0,17,4,5,0,1,0
32,1,32,0,0,1,0,13195,32770,4700,0,0,0,0,58,1,2,0,1,0,diffusion,0,1,0,1,0,21,1,2,0,1,1
33,1,33,0,1,1,0,32915,38280,5200,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
34,1,34,205.0609665,1,1,0,46400,23925,5400,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
35,1,35,145,1,1,0,42050,32190,5400,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
36,1,36,435,1,1,0,18270,33930,5500,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
37,1,37,290,1,1,0,5945,34945,6500,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
38,1,38,0,1,1,0,18125,33350,7100,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
39,1,39,145,1,1,0,29145,29000,10000,-0.002285326087,0.04205,-1,0,10,2,3,175.0304833,2,30.03048327,immobile,31537.5,2,10512.5,0,0,4,2,3,0,1,0
40,1,40,145,1,1,0,16240,42195,10700,-0.0003324110672,0.01529090909,-0.2306839344,2.621237178e-006,12,5,6,58,5,35.51760127,immobile,8410,5,5150.052184,0,0,6,5,6,0,1,0
41,1,41,597.8503157,1,1,0,33350,30015,12300,0.03885054348,2.775557562e-017,1,5.242607032e-033,13,2,3,298.9251579,2,298.9251579,diffusion,178712.5,2,178712.5,0,0,7,2,3,0,1,0
42,1,42,0,2,2,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
43,1,43,145,2,2,0,24940,16965,300,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
44,1,44,458.5302607,2,2,0,5800,25665,500,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
45,1,45,205.0609665,2,2,0,26245,26680,1500,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
46,1,46,324.2298567,2,2,0,25955,15225,1800,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
47,0,47,0,2,2,0,22330,26535,2300,-0.002285326087,0.04205,-1,0,0,2,3,175.0304833,2,30.03048327,immobile,31537.5,2,10512.5,0,0,0,2,3,0,1,0
48,1,48,0,2,2,0,21460,24795,3200,0.0008821597391,0.001290979585,0.9985460576,1.148292532e-010,46,81,82,33.70520905,81,7.119793631,immobile,5191.358025,81,1140.327611,0,0,19,132,133,0,3,0
49,1,49,145,2,2,0,24795,20155,3300,0.001130338481,0.003952311248,0.9968625379,1.288822528e-009,49,27,28,55.00677406,27,15.58931988,immobile,9344.444444,27,2824.220619,0,0,20,185,186,0,9,0
50,0,50,0,0,2,0,37700,8555,3600,0,0,0,0,60,0,1,0,0,0,none,0,0,0,2,0,23,0,1,0,1,2
51,1,51,0,2,2,0,31610,12905,4600,0.0009141304348,0,0.9097176523,3.481810216e-007,44,4,5,36.25,4,36.25,immobile,5256.25,4,5256.25,0,0,17,4,5,0,1,0
52,0,52,0,1,2,0,13195,32770,4700,0,0,0,0,58,1,2,0,1,0,diffusion,0,1,0,1,0,21,1,2,0,1,1
53,1,53,0,2,2,0,32915,38280,5200,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
54,1,54,0,2,2,0,46255,24070,5400,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
55,1,55,0,2,2,0,41905,32190,5400,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
56,1,56,580,2,2,0,18270,33495,5500,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
57,1,57,435,2,2,0,6235,34945,6600,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
58,1,58,0,2,2,0,18125,33350,7100,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
59,0,59,0,2,2,0,29145,28855,10000,-0.002285326087,0.04205,-1,0,10,2,3,175.0304833,2,30.03048327,immobile,31537.5,2,10512.5,0,0,4,2,3,0,1,0
60,1,60,0,2,2,0,16240,42340,10500,-0.0003324110672,0.01529090909,-0.2306839344,2.621237178e-006,12,5,6,58,5,35.51760127,immobile,8410,5,5150.052184,0,0,6,5,6,0,1,0
61,0,61,0,2,2,0,33930,29870,12600,0.03885054348,2.775557562e-017,1,5.242607032e-033,13,2,3,298.9251579,2,298.9251579,diffusion,178712.5,2,178712.5,0,0,7,2,3,0,1,0
62,1,62,0,3,3,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
63,1,63,145,3,3,0,24795,16965,200,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
64,1,64,739.3578295,3,3,0,6235,25520,500,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
65,1,65,145,3,3,0,26100,26535,1500,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
66,1,66,615.1828996,3,3,0,25810,15515,1800,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
67,0,67,0,0,3,0,46255,29145,2800,0,0,0,0,61,0,1,0,0,0,none,0,0,0,3,0,24,0,1,0,1,3
68,1,68,145,3,3,0,24795,20300,3300,0.001130338481,0.003952311248,0.9968625379,1.288822528e-009,49,27,28,55.00677406,27,15.58931988,immobile,9344.444444,27,2824.220619,0,0,20,185,186,0,9,0
69,1,69,0,3,3,0,21460,24795,3300,0.0008821597391,0.001290979585,0.9985460576,1.148292532e-010,46,81,82,33.70520905,81,7.119793631,immobile,5191.358025,81,1140.327611,0,0,19,132,133,0,3,0
70,0,70,0,0,3,0,37845,8555,3700,0,0,0,0,62,0,1,0,0,0,none,0,0,0,3,0,25,0,1,0,1,3
71,1,71,0,3,3,0,31610,12905,4700,0.0009141304348,0,0.9097176523,3.481810216e-007,44,4,5,36.25,4,36.25,immobile,5256.25,4,5256.25,0,0,17,4,5,0,1,0
72,1,72,145,3,3,0,32915,38280,5100,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
73,1,73,205.0609665,3,3,0,41905,32190,5300,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
74,1,74,0,3,3,0,46255,24070,5400,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
75,1,75,435,3,3,0,18850,33495,5800,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
76,1,76,145,3,3,0,6670,34945,6900,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
77,1,77,0,3,3,0,18125,33350,7100,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
78,1,78,145,3,3,0,16240,42340,10500,-0.0003324110672,0.01529090909,-0.2306839344,2.621237178e-006,12,5,6,58,5,35.51760127,immobile,8410,5,5150.052184,0,0,6,5,6,0,1,0
79,1,79,0,4,4,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
80,1,80,145,4,4,0,24940,16965,200,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
81,1,81,205.0609665,4,4,0,6380,26245,800,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
82,1,82,0,4,4,0,26100,26680,1300,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
83,1,83,324.2298567,4,4,0,26245,15080,2500,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
84,1,84,205.0609665,4,4,0,21460,24795,3300,0.0008821597391,0.001290979585,0.9985460576,1.148292532e-010,46,81,82,33.70520905,81,7.119793631,immobile,5191.358025,81,1140.327611,0,0,19,132,133,0,3,0
85,1,85,0,4,4,0,24940,20300,3400,0.001130338481,0.003952311248,0.9968625379,1.288822528e-009,49,27,28,55.00677406,27,15.58931988,immobile,9344.444444,27,2824.220619,0,0,20,185,186,0,9,0
86,0,86,0,0,4,0,37845,8555,3600,0,0,0,0,63,0,1,0,0,0,none,0,0,0,4,0,26,0,1,0,1,4
87,0,87,0,4,4,0,31610,12905,4600,0.0009141304348,0,0.9097176523,3.481810216e-007,44,4,5,36.25,4,36.25,immobile,5256.25,4,5256.25,0,0,17,4,5,0,1,0
88,1,88,0,4,4,0,32915,38425,5100,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
89,1,89,290,4,4,0,46255,24070,5300,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
